Country,Region,Population,Area square km,Pop density per square km,Coastline,Net migration,Infant mortality per 1000 births,GDP in dollars per capita,Literacy rate,Phones per 1000,Birthrate,Deathrate,Agriculture,Industry,Service
Norway,Europe,4610820,323802,"14,2","7,77","1,74","3,7",37800,"100,0","461,7","11,46","9,4","0,021","0,415","0,564"
Oman,Asia,3102229,212460,"14,6","0,98","0,28","19,51",13100,"75,8","85,5","36,24","3,81","0,027","0,39","0,583"
Pakistan,Asia,165803560,803940,"206,2","0,13","-2,77","72,44",2100,"45,7","31,8","29,74","8,23","0,216","0,251","0,533"
Palau,Oceania,20579,458,"44,9","331,66","2,85","14,84",9000,"92,0","325,6","18,03","6,8","0,062","0,12","0,818"
Panama,South America,3191319,78200,"40,8","3,18","-0,91","20,47",6300,"92,6","137,9","21,74","5,36","0,068","0,156","0,776"
Papua New Guinea,Oceania,5670544,462840,"12,3","1,11",0,"51,45",2200,"64,6","10,9","29,36","7,25","0,353","0,381","0,266"
Paraguay,South America,6506464,406750,"16,0","0,00","-0,08","25,63",4700,"94,0","49,2","29,1","4,49","0,224","0,207","0,569"
Peru,South America,28302603,1285220,"22,0","0,19","-1,05","31,94",5100,"90,9","79,5","20,48","6,23","0,08","0,27","0,65"
Philippines,Asia,89468677,300000,"298,2","12,10","-1,5","23,51",4600,"92,6","38,4","24,89","5,41","0,144","0,326","0,53"
Poland,Europe,38536869,312685,"123,3","0,16","-0,49","8,51",11100,"99,8","306,3","9,85","9,89","0,05","0,311","0,64"
Portugal,Europe,10605870,92391,"114,8","1,94","3,57","5,05",18000,"93,3","399,2","10,72","10,5","0,053","0,274","0,673"
Puerto Rico,South America,3927188,13790,"284,8","3,63","-1,46","8,24",16800,"94,1","283,1","12,77","7,65","0,01","0,45","0,54"
Qatar,Asia,885359,11437,"77,4","4,92","16,29","18,61",21500,"82,5","232,0","15,56","4,72","0,002","0,801","0,197"
Reunion,Africa,787584,2517,"312,9","8,22",0,"7,78",5800,"88,9","380,9","18,9","5,49","0,08","0,19","0,73"
Romania,Europe,22303552,237500,"93,9","0,09","-0,13","26,43",7000,"98,4","196,9","10,7","11,77","0,101","0,35","0,549"
Russia,Europe,142893540,17075200,"8,4","0,22","1,02","15,39",8900,"99,6","280,6","9,95","14,65","0,054","0,371","0,575"
Rwanda,Africa,8648248,26338,"328,4","0,00",0,"91,23",1300,"70,4","2,7","40,37","16,09","0,401","0,229","0,37"
Saint Helena,Africa,7502,413,"18,2","14,53",0,19,2500,"97,0","293,3","12,13","6,53",,,
Saint Kitts and Nevis,South America,39129,261,"149,9","51,72","-7,11","14,49",8800,"97,0","638,9","18,02","8,33","0,035","0,258","0,707"
Saint Lucia,South America,168458,616,"273,5","25,65","-2,67","13,53",5400,"67,0","303,3","19,68","5,08","0,07","0,2","0,73"
St Pierre & Miquelon,North America,7026,242,"29,0","49,59","-4,86","7,54",6900,"99,0","683,2","13,52","6,83",,,
Saint Vincent and the Grenadines,South America,117848,389,"303,0","21,59","-7,64","14,78",2900,"96,0","190,9","16,18","5,98","0,1","0,26","0,64"
Samoa,Oceania,176908,2944,"60,1","13,69","-11,7","27,71",5600,"99,7","75,2","16,43","6,62","0,114","0,584","0,302"
San Marino,Europe,29251,61,"479,5","0,00","10,98","5,73",34600,"96,0","704,3","10,02","8,17",,,
Sao Tome and Principe,Africa,193413,1001,"193,2","20,88","-2,72","43,11",1200,"79,3","36,2","40,25","6,47","0,167","0,148","0,684"
Saudi Arabia,Asia,27019731,1960582,"13,8","0,13","-2,71","13,24",11800,"78,8","140,6","29,34","2,58","0,033","0,613","0,354"
Senegal,Africa,11987121,196190,"61,1","0,27","0,2","55,51",1600,"40,2","22,2","32,78","9,42","0,172","0,209","0,619"
Serbia,Europe,9396411,88361,"106,3","0,00","-1,33","12,89",2200,"93,0","285,8",,,"0,166","0,255","0,579"
Seychelles,Africa,81541,455,"179,2","107,91","-5,69","15,53",7800,"58,0","262,4","16,03","6,29","0,032","0,304","0,665"
Sierra Leone,Africa,6005250,71740,"83,7","0,56",0,"143,64",500,"31,4","4,0","45,76","23,03","0,49","0,31","0,21"
Singapore,Asia,4492150,693,"6482,2","27,85","11,53","2,29",23700,"92,5","411,4","9,34","4,28",0,"0,339","0,661"
Slovakia,Europe,5439448,48845,"111,4","0,00","0,3","7,41",13300,,"220,1","10,65","9,45","0,035","0,294","0,672"
Slovenia,Europe,2010347,20273,"99,2","0,23","1,12","4,45",19000,"99,7","406,1","8,98","10,31","0,028","0,369","0,603"
Solomon Islands,Oceania,552438,28450,"19,4","18,67",0,"21,29",1700,,"13,4","30,01","3,92","0,42","0,11","0,47"
Somalia,Africa,8863338,637657,"13,9","0,47","5,37","116,7",500,"37,8","11,3","45,13","16,63","0,65","0,1","0,25"
South Africa,Africa,44187637,1219912,"36,2","0,23","-0,29","61,81",10700,"86,4","107,0","18,2",22,"0,025","0,303","0,671"
Spain,Europe,40397842,504782,"80,0","0,98","0,99","4,42",22000,"97,9","453,5","10,06","9,72","0,04","0,295","0,665"
Sri Lanka,Asia,20222240,65610,"308,2","2,04","-1,31","14,35",3700,"92,3","61,5","15,51","6,52","0,178","0,276","0,545"
Sudan,Africa,41236378,2505810,"16,5","0,03","-0,02","62,5",1900,"61,1","16,3","34,53","8,97","0,387","0,203","0,41"
Suriname,South America,439117,163270,"2,7","0,24","-8,81","23,57",4000,"93,0","184,7","18,02","7,27","0,13","0,22","0,65"
Swaziland,Africa,1136334,17363,"65,5","0,00",0,"69,27",4900,"81,6","30,8","27,41","29,74","0,119","0,515","0,366"
Sweden,Europe,9016596,449964,"20,0","0,72","1,67","2,77",26800,"99,0","715,0","10,27","10,31","0,011","0,282","0,707"
Switzerland,Europe,7523934,41290,"182,2","0,00","4,05","4,39",32700,"99,0","680,9","9,71","8,49","0,015","0,34","0,645"
Syria,Asia,18881361,185180,"102,0","0,10",0,"29,53",3300,"76,9","153,8","27,76","4,81","0,249","0,23","0,519"
Taiwan,Asia,23036087,35980,"640,3","4,35",0,"6,4",23400,"96,1","591,0","12,56","6,48","0,018","0,259","0,723"
Tajikistan,Asia,7320815,143100,"51,2","0,00","-2,86","110,76",1000,"99,4","33,5","32,65","8,25","0,234","0,286","0,48"
Tanzania,Africa,37445392,945087,"39,6","0,15","-2,06","98,54",600,"78,2","4,0","37,71","16,39","0,432","0,172","0,396"
Thailand,Asia,64631595,514000,"125,7","0,63",0,"20,48",7400,"92,6","108,9","13,87","7,04","0,099","0,441","0,46"
Togo,Africa,5548702,56785,"97,7","0,10",0,"66,61",1500,"60,9","10,6","37,01","9,83","0,395","0,204","0,401"
Tonga,Oceania,114689,748,"153,3","56,02",0,"12,62",2200,"98,5","97,7","25,37","5,28","0,23","0,27","0,5"
